year_quarter,report_category,manufacturer_normalized,transaction_spend,supplier_spend,spend_delta,transaction_to_supplier_ratio
2023-Q%q,Ultrasound HC,SIEMENS,2318930.17,1919797.6500001,399132.5199998999,1.2079034319058986
2023-Q%q,MRI,GE,9204006.430000003,9827847.27,-623840.8399999961,0.9365231446051974
2023-Q%q,CT,OTHER,1975665.8729999997,1025354.83,950311.0429999997,1.9268118852085572
2023-Q%q,CT,PHILIPS,3126227.2199999997,1403524.0400004,1722703.1799995997,2.227412663340707
2023-Q%q,CT,SAMSUNG,609802.41,0.0,609802.41,
2023-Q%q,Ultrasound HC,SAMSUNG,45148.799999999996,0.0,45148.799999999996,
2023-Q%q,Ultrasound HC,PHILIPS,28179038.01999999,18102676.5800007,10076361.43999929,1.5566227400389705
2023-Q%q,Ultrasound HC,OTHER,30630770.005000006,11396723.6099978,19234046.39500221,2.687682096469296
2023-Q%q,Ultrasound HC,GE,19873501.072,23147283.710006513,-3273782.638006512,0.8585673084141936
2023-Q%q,Ultrasound HC,CANON,579661.44,1503561.0600002997,-923899.6200002998,0.38552570655154134
2023-Q%q,Monitoring,SPACELABS,3504908.2420000015,3427262.1700020004,77646.07199800108,1.022655422359462
2023-Q%q,Monitoring,SIEMENS,11329.2,0.0,11329.2,
2023-Q%q,Monitoring,PHILIPS,53571062.51299999,42338873.160022095,11232189.352977894,1.2652925908189672
2023-Q%q,Monitoring,OTHER,10036292.282000003,7367828.640111406,2668463.641888597,1.3621777557856243
2023-Q%q,Monitoring,NIHON KOHDEN,3277907.532,6468960.920004001,-3191053.3880040008,0.5067131448983886
2023-Q%q,CT,GE,16770588.799999997,11975178.0499998,4795410.750000197,1.4004458831407753
2023-Q%q,CT,CANON,1692610.19,3646324.6800004,-1953714.4900004002,0.46419623553649486
2023-Q%q,CT,SIEMENS,34101681.129999995,15422316.8800001,18679364.249999896,2.211190536113519
2023-Q%q,MRI,CANON,1300019.21,1859166.5999999999,-559147.3899999999,0.6992483675212324
2023-Q%q,Monitoring,GE,8019955.680999999,28891919.697575003,-20871964.016575005,0.2775847283582593
2023-Q%q,MRI,SIEMENS,20989622.01,13031871.68,7957750.330000002,1.6106375603907115
2023-Q%q,MRI,PHILIPS,3079680.374,445431.2399994,2634249.1340006,6.913929912064875
2023-Q%q,MRI,OTHER,6856243.870000002,70442.18,6785801.690000002,97.33151174480976
2024-Q%q,Monitoring,GE,51325131.77000004,62323227.25784797,-10998095.487847932,0.8235313546529635
2024-Q%q,MRI,OTHER,14977624.715000007,3532974.1600001,11444650.554999907,4.2393813361486865
2024-Q%q,MRI,GE,34521577.14200001,52154251.37000127,-17632674.22800126,0.6619130029705798
2024-Q%q,Ultrasound HC,SIEMENS,20043304.155000005,9253742.8600004,10789561.294999605,2.165967269485932
2024-Q%q,CT,CANON,8488216.559999999,19477996.11333509,-10989779.553335093,0.43578489853937113
2024-Q%q,MRI,PHILIPS,5896848.930000002,3903713.9099999997,1993135.0200000019,1.5105740497258935
2024-Q%q,Ultrasound HC,SAMSUNG,78136.06,0.0,78136.06,
2024-Q%q,MRI,SIEMENS,67240950.06000002,95955334.9100001,-28714384.850000083,0.7007525962268557
2024-Q%q,CT,GE,54007503.204999976,36789479.13000061,17218024.074999362,1.468014891272506
2024-Q%q,MRI,CANON,2024030.779999999,3865181.629999901,-1841150.849999902,0.5236573526817809
2024-Q%q,Ultrasound HC,PHILIPS,118623432.40999992,107623942.34334117,10999490.06665875,1.102203002669873
2024-Q%q,Ultrasound HC,OTHER,119729341.26300001,46185420.3299753,73543920.9330247,2.592362273799491
2024-Q%q,CT,OTHER,10694232.756000005,1081875.0,9612357.756000005,9.884906071403817
2024-Q%q,Ultrasound HC,GE,105772814.22600009,87208157.56334254,18564656.662657544,1.2128775240914056
2024-Q%q,Monitoring,NIHON KOHDEN,30841469.938000016,29559048.390007198,1282421.547992818,1.0433850755637437
2024-Q%q,CT,PHILIPS,11708981.963999994,6426864.380000399,5282117.583999595,1.821880978294312
2024-Q%q,Monitoring,OTHER,35116860.58299998,29229617.770830583,5887242.812169399,1.201413609248237
2024-Q%q,CT,SAMSUNG,2975778.47,0.0,2975778.47,
2024-Q%q,Ultrasound HC,CANON,4752813.210000002,7544105.900000195,-2791292.690000193,0.6300035117481422
2024-Q%q,CT,SIEMENS,112483261.99899995,98790408.91333002,13692853.085669935,1.138605085618006
2024-Q%q,Monitoring,SPACELABS,20654971.250000004,33766470.11001458,-13111498.860014576,0.6117006362437061
2024-Q%q,Monitoring,PHILIPS,195499628.6800001,189377174.34339428,6122454.336605817,1.032329420680362
2024-Q%q,Monitoring,SIEMENS,23318.6,0.0,23318.6,
2025-Q%q,Monitoring,SIEMENS,18992.0,0.0,18992.0,
2025-Q%q,CT,CANON,8691066.09,12847092.8300018,-4156026.7400017995,0.6765006064020775
2025-Q%q,Monitoring,SPACELABS,13406826.962000001,15247009.420007205,-1840182.4580072034,0.8793086298226781
2025-Q%q,Monitoring,PHILIPS,123655418.86299998,100877313.04003459,22778105.822965384,1.2258000846426744
2025-Q%q,CT,GE,40192785.53799999,31613919.8500003,8578865.687999688,1.2713635553169027
2025-Q%q,Monitoring,OTHER,29980399.707999993,22579317.1100222,7401082.597977795,1.327781507381935
2025-Q%q,Ultrasound HC,CANON,3196071.56,5145889.013333897,-1949817.453333897,0.621092206170483
2025-Q%q,CT,OTHER,13461314.684999993,602295.0,12859019.684999993,22.35003558887255
2025-Q%q,Monitoring,NIHON KOHDEN,18954962.283,6189594.453334599,12765367.8296654,3.062391635818426
2025-Q%q,Ultrasound HC,GE,63987277.281,67560697.8199991,-3573420.5389990956,0.9471079983732598
2025-Q%q,CT,PHILIPS,11708292.3,7194180.396667201,4514111.9033328,1.6274671546218138
2025-Q%q,Ultrasound HC,OTHER,84592316.96100006,33041696.429983094,51550620.53101696,2.5601686989726797
2025-Q%q,CT,SAMSUNG,3781458.1199999996,0.0,3781458.1199999996,
2025-Q%q,CT,SIEMENS,89902521.83199999,75999853.43000059,13902668.401999399,1.1829302001852464
2025-Q%q,Ultrasound HC,PHILIPS,75898212.65100002,51169915.27331612,24728297.3776839,1.4832585171501957
2025-Q%q,MRI,CANON,2433861.3400000003,2271623.7066667,162237.63333330024,1.0714192376392135
2025-Q%q,MRI,SIEMENS,62815409.40000001,67912425.263333,-5097015.863332979,0.9249472266147305
2025-Q%q,MRI,PHILIPS,3880256.7099999995,2714130.1300004995,1166126.5799995,1.4296502098811619
2025-Q%q,MRI,GE,34937776.85999999,28607631.6600012,6330145.199998792,1.2212747030314122
2025-Q%q,Ultrasound HC,SAMSUNG,46136.259999999995,0.0,46136.259999999995,
2025-Q%q,MRI,OTHER,19025632.549999997,1803292.8100001004,17222339.739999898,10.550495429524247
2025-Q%q,Ultrasound HC,SIEMENS,6129188.423000002,4609322.2400001,1519866.1829999024,1.3297374546327811
2025-Q%q,Monitoring,GE,36363895.23800001,41760163.443340704,-5396268.205340691,0.8707795238238895
